2026-02-02 12:21:33 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbox
2026-02-02 12:44:56 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbox
2026-02-02 14:07:08 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbox
2026-02-02 14:16:06 | DEBUG | weekly_report.pipeline | Pipeline starting
2026-02-02 14:16:06 | DEBUG | weekly_report.pipeline | dry_run=True
2026-02-02 14:16:06 | DEBUG | weekly_report.pipeline | inbox_dir=data\inbox
2026-02-02 14:16:06 | DEBUG | weekly_report.pipeline | input_globs=['.csv', '*.xlsx', '*.json']
2026-02-02 14:16:06 | DEBUG | weekly_report.pipeline | processed_dir=data\processed
2026-02-02 14:16:06 | DEBUG | weekly_report.pipeline | failed_dir=data\failed
2026-02-02 14:16:06 | DEBUG | weekly_report.pipeline | output_dir=output
2026-02-02 14:16:06 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbox
2026-02-02 14:16:06 | DEBUG | weekly_report.pipeline | Input files: []
2026-02-02 14:16:06 | DEBUG | weekly_report.pipeline | Early exit: no input files found.
2026-02-02 15:03:54 | DEBUG | weekly_report.pipeline | Pipeline starting
2026-02-02 15:03:54 | DEBUG | weekly_report.pipeline | dry_run=True
2026-02-02 15:03:54 | DEBUG | weekly_report.pipeline | inbox_dir=data\inbox
2026-02-02 15:03:54 | DEBUG | weekly_report.pipeline | input_globs=['.csv', '*.xlsx', '*.json']
2026-02-02 15:03:54 | DEBUG | weekly_report.pipeline | processed_dir=data\processed
2026-02-02 15:03:54 | DEBUG | weekly_report.pipeline | failed_dir=data\failed
2026-02-02 15:03:54 | DEBUG | weekly_report.pipeline | output_dir=output
2026-02-02 15:03:54 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbox
2026-02-02 15:03:54 | DEBUG | weekly_report.pipeline | Input files: []
2026-02-02 15:03:54 | DEBUG | weekly_report.pipeline | Early exit: no input files found.
2026-02-02 15:16:20 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbox
2026-02-02 15:17:07 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbox
2026-02-02 15:18:32 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbo1
2026-02-02 15:19:19 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbo1
2026-02-02 15:20:36 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbox
2026-02-02 15:21:02 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbox
2026-02-02 15:21:52 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbox
2026-02-02 15:22:17 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbox
2026-02-02 15:31:23 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbox
2026-02-02 15:45:40 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbox
2026-02-02 15:48:29 | INFO | weekly_report.pipeline | Discovered 0 input file(s) in data\inbox
